color,lat,lon
#e6194B,-33.5611563,-70.5690341
#e6194B,-33.54393816999999,-70.56948472
#e6194B,-33.5619201,-70.57469436
#e6194B,-33.54940204999999,-70.56727545
#e6194B,-33.56178941999999,-70.57382892
#e6194B,-33.55891358,-70.57867515
#e6194B,-33.55364783999999,-70.58945058
#e6194B,-33.554806,-70.57688
#e6194B,-33.54447334,-70.56921764
#e6194B,-33.5436023,-70.5865
#e6194B,-33.52291935,-70.59742898
#e6194B,-33.56179800999999,-70.57417485
#e6194B,-33.539696,-70.57919
#e6194B,-33.54354737,-70.57084345
#e6194B,-33.53647359,-70.5766549
#e6194B,-33.56286983999999,-70.58466074
#e6194B,-33.55799068999999,-70.59232968
#e6194B,-33.55512284,-70.62818119
#e6194B,-33.53595055,-70.55599089
#e6194B,-33.45841754,-70.59406471
#3cb44b,-33.44957134,-70.63669304
#3cb44b,-33.38217153,-70.64286727
#3cb44b,-33.46783309,-70.63800235
#3cb44b,-33.37498257,-70.63959733
#3cb44b,-33.45476526,-70.63096436
#3cb44b,-33.44976157,-70.63183657
#3cb44b,-33.42700918,-70.64669818
#3cb44b,-33.44986649,-70.64029999
#3cb44b,-33.44523916,-70.64268438
#3cb44b,-33.51861359,-70.75718188
#3cb44b,-33.44961141999999,-70.66456751
#3cb44b,-33.46795786,-70.62786296
#3cb44b,-33.41236812999999,-70.63803656
#3cb44b,-33.37478971,-70.64029001
#3cb44b,-33.39836347,-70.6363131
#3cb44b,-33.4455943,-70.64144184
#3cb44b,-33.45007738,-70.63732245
#3cb44b,-33.40193341,-70.65727563
#3cb44b,-33.44353792999999,-70.67464907
#3cb44b,-33.37465422999999,-70.62750323
#ffe119,-33.42566016,-70.5316773
#ffe119,-33.40571652,-70.54043628
#ffe119,-33.35082404,-70.50700886
#ffe119,-33.36166739,-70.5043675
#ffe119,-33.3611543,-70.50548959
#ffe119,-33.36419678,-70.49712536
#ffe119,-33.3642831,-70.4990235
#ffe119,-33.41157772999999,-70.55218473
#ffe119,-33.42619601,-70.55425887
#ffe119,-33.421473,-70.558532
#ffe119,-33.41938174,-70.5888458
#ffe119,-33.38827666,-70.54939272
#ffe119,-33.42563894,-70.55495696
#ffe119,-33.39516306,-70.55416897
#ffe119,-33.45841754,-70.59406471
#ffe119,-33.40571306999999,-70.56107434
#ffe119,-33.45652629,-70.59439404
#ffe119,-33.45212157999999,-70.58044022
#ffe119,-33.45186477,-70.5915041
#ffe119,-33.4659126,-70.60651537
#4363d8,-33.35549321,-70.73990359
#4363d8,-33.36708946,-70.73171811
#4363d8,-33.36231712,-70.75345495
#4363d8,-33.35859709999999,-70.73988447
#4363d8,-33.36956700999999,-70.73572442
#4363d8,-33.36287518999999,-70.72137879
#4363d8,-33.35556417,-70.73925187
#4363d8,-33.36681973999999,-70.73559355
#4363d8,-33.35796100999999,-70.72128708
#4363d8,-33.364773,-70.75768972
#4363d8,-33.37063599999999,-70.71962767
#4363d8,-33.367279,-70.71665627
#4363d8,-33.3688604,-70.736824
#4363d8,-33.36900608,-70.72851845
#4363d8,-33.36530653,-70.70479879
#4363d8,-33.36935125,-70.72428891
#4363d8,-33.36935402,-70.72910117
#4363d8,-33.36528526,-70.7538659
#4363d8,-33.35725613999999,-70.73737333
#4363d8,-33.37732411,-70.72770616
#f58231,-33.34877,-70.72874
#f58231,-33.38992646,-70.5591368
#f58231,-33.38806398,-70.57974941
#f58231,-33.39516306,-70.55416897
#f58231,-33.35556417,-70.73925187
#f58231,-33.44304994,-70.59659856
#f58231,-33.44353792999999,-70.67464907
#f58231,-33.44308998999999,-70.67090523
#f58231,-33.45942826,-70.67636398
#f58231,-33.43088782,-70.6284684
#f58231,-33.43362144999999,-70.63292953
#f58231,-33.36956700999999,-70.73572442
#f58231,-33.366478,-70.73623
#f58231,-33.41938174,-70.5888458
#f58231,-33.42563894,-70.55495696
#f58231,-33.43965974,-70.67474682
#f58231,-33.36191173,-70.72896112
#f58231,-33.46163013999999,-70.64299255
#f58231,-33.40708328,-70.64873606
#f58231,-33.39045097999999,-70.65532689
#911eb4,-33.39090138,-70.67481829
#911eb4,-33.39636702,-70.66311222
#911eb4,-33.38441333,-70.67975904
#911eb4,-33.38396938999999,-70.67797712
#911eb4,-33.38186548,-70.66200969
#911eb4,-33.39929925,-70.66823613
#911eb4,-33.39045097999999,-70.65532689
#911eb4,-33.3713421,-70.69078266
#911eb4,-33.39112361,-70.67462279
#911eb4,-33.51861359,-70.75718188
#911eb4,-33.38288880999999,-70.68198134
#911eb4,-33.37273641,-70.68165689
#911eb4,-33.37182009,-70.68013941
#911eb4,-33.37003144,-70.69107767
#911eb4,-33.39665233,-70.67256715
#911eb4,-33.41190513,-70.6745079
#911eb4,-33.38870845,-70.67837993
#911eb4,-33.36839299999999,-70.68813
#911eb4,-33.42078067,-70.65681068
#911eb4,-33.50360544,-70.71201881
#42d4f4,-33.52396165999999,-70.65101157
#42d4f4,-33.53079557,-70.66546386
#42d4f4,-33.54318864999999,-70.66151495
#42d4f4,-33.56434917,-70.63014486
#42d4f4,-33.539676,-70.65618
#42d4f4,-33.52119803,-70.65822211
#42d4f4,-33.54133967,-70.65970618
#42d4f4,-33.50924829,-70.65673034
#42d4f4,-33.52937619,-70.65171822
#42d4f4,-33.53940233,-70.66693374
#42d4f4,-33.54357439999999,-70.66104028
#42d4f4,-33.54412769999999,-70.6558275
#42d4f4,-33.53763485,-70.6682878
#42d4f4,-33.53483086,-70.6544089
#42d4f4,-33.52135358,-70.65553564
#42d4f4,-33.56188439999999,-70.63087038
#42d4f4,-33.54494693,-70.66794358
#42d4f4,-33.539548,-70.66740036
#42d4f4,-33.52291935,-70.59742898
#42d4f4,-33.48936244,-70.65774866
#f032e6,-33.41545,-70.53521
#f032e6,-33.38827666,-70.54939272
#f032e6,-33.38992646,-70.5591368
#f032e6,-33.36419678,-70.49712536
#f032e6,-33.3642831,-70.4990235
#f032e6,-33.38806398,-70.57974941
#f032e6,-33.40571306999999,-70.56107434
#f032e6,-33.421473,-70.558532
#f032e6,-33.41938174,-70.5888458
#f032e6,-33.46017922,-70.5807979
#f032e6,-33.49613737,-70.76092139
#f032e6,-33.45942826,-70.67636398
#f032e6,-33.46739669,-70.60644854
#f032e6,-33.45652629,-70.59439404
#f032e6,-33.45841754,-70.59406471
#f032e6,-33.46783309,-70.63800235
#f032e6,-33.54494693,-70.66794358
#f032e6,-33.37498257,-70.63959733
#f032e6,-33.47521664,-70.75730314
#f032e6,-33.54318864999999,-70.66151495
#bfef45,-33.51055005,-70.77584284
#bfef45,-33.51625034,-70.78584447
#bfef45,-33.50871344,-70.79543767
#bfef45,-33.51159078,-70.79701194
#bfef45,-33.50988153,-70.78879816
#bfef45,-33.51861359,-70.75718188
#bfef45,-33.48429489,-70.74619278
#bfef45,-33.519165,-70.79245418
#bfef45,-33.528244,-70.79683
#bfef45,-33.5151854,-70.7642677
#bfef45,-33.52186111999999,-70.7866748
#bfef45,-33.50955924,-70.74725518
#bfef45,-33.50016212,-70.78104543
#bfef45,-33.51233641999999,-70.78513792
#bfef45,-33.52949773,-70.77341876
#bfef45,-33.50405544,-70.7671735
#bfef45,-33.4994248,-70.74433865
#bfef45,-33.50340173,-70.76915488
#bfef45,-33.50718521,-70.78259673
#bfef45,-33.56125999999999,-70.79095
#fabed4,-33.45095264999999,-70.63148132
#fabed4,-33.44986649,-70.64029999
#fabed4,-33.4455943,-70.64144184
#fabed4,-33.44870941,-70.65670874
#fabed4,-33.45677263999999,-70.65366284
#fabed4,-33.44976157,-70.63183657
#fabed4,-33.45872278,-70.64651169
#fabed4,-33.46739669,-70.60644854
#fabed4,-33.45942826,-70.67636398
#fabed4,-33.45652629,-70.59439404
#fabed4,-33.45235006,-70.64425534
#fabed4,-33.45476526,-70.63096436
#fabed4,-33.46092709,-70.64804215
#fabed4,-33.46615535,-70.65276247
#fabed4,-33.46806327,-70.60057686
#fabed4,-33.43779818,-70.66923128
#fabed4,-33.46163013999999,-70.64299255
#fabed4,-33.47059844,-70.58935544
#fabed4,-33.45700956999999,-70.59402438
#fabed4,-33.46315650999999,-70.61847716
